"County,State",MedIncome,Population,Value
"Elmore,Idaho",36855,27038.0,219900.0
"Franklin,Idaho",36064,12786.0,299895.0
"Fremont (includes Yellowstone National Park),Idaho",36908,,
"Gem,Idaho",37796,16719.0,
"Gooding,Idaho",52875,15464.0,183200.0
"Idaho,Idaho",35122,16267.0,291500.0
"Jefferson,Idaho",34900,26140.0,320000.0
"Jerome,Idaho",38184,22374.0,219500.0
"Kootenai,Idaho",44987,138494.0,379900.0
"Latah,Idaho",41341,37244.0,269500.0
"Lemhi,Idaho",41565,7936.0,297000.0
"Lewis,Idaho",47267,3821.0,155000.0
"Lincoln,Idaho",34821,5208.0,
"Madison,Idaho",26407,37536.0,274900.0
"Minidoka,Idaho",38159,20069.0,
"Nez Perce,Idaho",44397,39265.0,254950.0
"Oneida,Idaho",35234,4286.0,
"Owyhee,Idaho",33372,11526.0,
"Payette,Idaho",38933,22623.0,
"Power,Idaho",36667,7817.0,
"Shoshone,Idaho",35537,12765.0,
"Teton,Idaho",39858,10170.0,497000.0
"Twin Falls,Idaho",39623,77230.0,247300.0
"Valley,Idaho",49630,9862.0,429500.0
"Washington,Idaho",36225,10198.0,235000.0
"Adams,Illinois",46886,67103.0,134900.0
"Alexander,Illinois",34713,8238.0,
"Bond,Illinois",37653,17768.0,
"Boone,Illinois",47437,54165.0,200000.0
"Brown,Illinois",35166,6937.0,
"Bureau,Illinois",43931,34978.0,115000.0
"Calhoun,Illinois",42511,5089.0,
"Carroll,Illinois",42399,15387.0,143900.0
"Cass,Illinois",42649,13642.0,
"Champaign,Illinois",45328,201081.0,165900.0
"Christian,Illinois",41724,34800.0,79900.0
